class,text
ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. "
ham,"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*"
ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,The basket's gettin full so I might be by tonight
ham,Still otside le..u come 2morrow maga..
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,Taka lor. Wat time u wan 2 come n look 4 us?
ham,Should i send you naughty pix? :)
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,What???? Hello wats talks email address?
ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
ham,No..but heard abt tat..
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
ham,Anything lor but toa payoh got place 2 walk meh...
ham,I had askd u a question some hours before. Its answer
ham,Thought praps you meant another one. Goodo! I'll look tomorrow 
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
ham,Sorry de i went to shop.
ham,I'm in class. Did you get my text.
ham,Thanks. Fills me with complete calm and reassurance! 
spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
ham,Still in the area of the restaurant. Ill try to come back soon
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
ham,Hey now am free you can call me.
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Are u coming to the funeral home
ham,* Thought I didn't see you.
ham,What happen to her tell the truth
ham,O ic lol. Should play 9 doors sometime yo
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
ham,K tell me anything about you.
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
ham,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.
ham,"I'm home, my love ... If your still awake ... *loving kiss*"
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
spam,"URGENT! Your mobile number *************** WON a å£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
ham,Its a great day. Do have yourself a beautiful one.
ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
ham,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.
ham,Dunno dat's wat he told me. Ok lor...
ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
ham,Ok no prob...
ham,I think that tantrum's finished so yeah I'll be by at some point
ham,if you text on your way to cup stop that should work. And that should be BUS
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? 
ham,Ok lor Ì_ reaching then message me.
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...
ham,I wont. So wat's wit the guys
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
ham,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
ham,2 laptop... I noe infra but too slow lar... I wan fast one
ham,Howz that persons story
ham,i dnt wnt to tlk wid u
ham,Yunny... I'm goin to be late
ham,How much she payed. Suganya.
ham,Pls dont forget to study
ham,Good Morning plz call me sir
spam,"\URGENT! This is the 2nd attempt to contact U!U have WON å£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxå£7. 50\"""""
ham,If u sending her home first it's ok lor. I'm not ready yet.
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Do u noe how 2 send files between 2 computers?
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come..."
ham,"I've got ten bucks, jay is being noncomittal"
ham,When i have stuff to sell i.ll tell you
ham,Ya but it cant display internal subs so i gotta extract them
ham,Hey i've booked the 2 lessons on sun liao...
ham,Only once then after ill obey all yours.
ham,I will be gentle princess! We will make sweet gentle love...
ham,No chikku nt yet.. Ya i'm free
ham,Send to someone else :-)
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,Please attend the phone:)
ham,Love you aathi..love u lot..
ham,I guess it is useless calling u 4 something important.
ham,K.i did't see you.:)k:)where are you now?
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.
ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,here is my new address -apples&pairs&all that malarky
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
ham,"You aren't coming home between class, right? I need to work out and shower!"
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
ham,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.
ham,Maybe you should find something else to do instead???
ham,"K, if u bored up just come to my home.."
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
ham,Huh i cant thk of more oredi how many pages do we have?
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Wat time do u wan 2 meet me later?
ham,Send me your resume:-)
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,Havent shopping now lor i juz arrive only
ham,I'll reach in ard 20 mins ok...
ham,Who's there say hi to our drugdealer
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
ham,U reach orchard already? U wan 2 go buy tickets first?
ham,Yo dude guess who just got arrested the other day
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
ham,"When you get free, call me"
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,Hey check it da. I have listed da.
ham,We have to pick rayan macleran there.
spam,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
spam,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP
ham,"Yeah why not, is the gang all ready"
ham,aathi..where are you dear..
ham,Are you free now?can i call now?
ham,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.
ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
ham,Crucify is c not s. You should have told me earlier.
ham,Dear how is chechi. Did you talk to her
ham,Of course. I guess god's just got me on hold right now.
ham,jay says he'll put in  &lt;#&gt;
ham,"I call you later, don't have network. If urgnt, sms me."
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,"Yeah, where's your class at?"
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
ham,Lol boo I was hoping for a laugh
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
ham,Give me a sec to think think about it
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,Smith waste da.i wanna gayle.
ham,PS U no ur a grown up now right?
ham,Where @
ham,Y bishan lei... I tot Ì_ say lavender? 
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
ham,I got your back! Do you have any dislikes in bed?
ham,There is a first time for everything :)
ham,Keep my payasam there if rinu brings
ham,Watching telugu movie..wat abt u?
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
ham,I'm hungry buy smth home...
ham,I think u have the wrong number.
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
ham,It has issues right now. Ill fix for her by tomorrow.
ham,I AM AT THE GAS STATION. GO THERE.
ham,Hmmm.still we dont have opener?
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL
ham,Are you in castor? You need to see something
ham,I havent add Ì_ yet right.. 
ham,But pls dont play in others life.
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,"Aight, text me tonight and we'll see what's up"
spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,K:)all the best:)congrats...
ham,This weekend is fine (an excuse not to do too much decorating)
ham,\YEH I AM DEF UP4 SOMETHING SAT
ham,Oops i thk i dun haf enuff... I go check then tell Ì_..
ham,Anything lor is she coming?
ham,Yes princess! I want to make you happy...
ham,I cant pick the phone right now. Pls send a message
ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,Ok i juz receive..
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.
ham,"Its ok., i just askd did u knw tht no?"
ham,Now project pa. After that only i can come.
ham,R Ì_ comin back for dinner?
ham,Full heat pa:-) i have applyed oil pa.
ham,You still coming tonight?
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,Don know:)this week i'm going to tirunelvai da.
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
ham,ÌÏ bot notes oredi... Cos i juz rem i got...
ham,Cos darren say Ì_ considering mah so i ask Ì_...
ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
ham,How did you find out in a way that didn't include all of these details
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,Just nw i came to hme da..
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,Its just the effect of irritation. Just ignore it
ham,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
ham,Ok...
ham,Yup ok...
ham,But i haf enuff space got like 4 mb...
ham,I sent your maga that money yesterday oh.
ham,"Nothing really, just making sure everybody's up to speed"
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
ham,ÌÏ still attending da talks?
ham,Don no da:)whats you plan?
ham,I am on the way to ur home
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
ham,"Ela kano.,il download, come wen ur free.."
ham,Carlos says we can pick up from him later so yeah we're set
ham,I WILL CAL YOU SIR. In meeting
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,Are you up for the challenge? I know i am :)
ham,Ok ok take care. I can understand.
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,Oh yeah clearly it's my fault
ham,When can Ì_ come out?
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...
ham,"I'm in solihull, | do you want anything?"
ham,"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""
ham,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn"""
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
ham,Wat would u like 4 ur birthday?
ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."""
ham,Also where's the piece
ham,Hey... Why dont we just go watch x men and have lunch... Haha 
ham,I know a few people I can hit up and fuck to the yes
ham,Lol great now im getting hungry.
spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub
ham,Ok...
ham,Ok... But bag again..
ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\"""""
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair. 
ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
spam,Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service
ham,"I'm a guy, browsin is compulsory"
ham,Ok cool. See ya then.
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
ham,Call me when u finish then i come n pick u.
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
ham,I just lov this line: \Hurt me with the truth
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,Okie.. Thanx..
ham,Your pussy is perfect!
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
ham,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you"
spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 "
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
ham,I canåÕt wait for cornwall. Hope tonight isnåÕt too bad as well but itåÕs rock night shite. Anyway iåÕm going for a kip now have a good night. Speak to you soon.
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
ham,I will take care of financial problem.i will help:)
ham,Ok. Me watching tv too.
ham,No need to buy lunch for me.. I eat maggi mee..
ham,If you r @ home then come down within 5 min
ham,"Yes, my reg is  Ciao!"
ham,R u in this continent?
ham,At home by the way
ham,Have you laid your airtel line to rest?
ham,"Nah can't help you there, I've never had an iphone"
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,Go fool dont cheat others ok
ham,Can Ì_ all decide faster cos my sis going home liao..
ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,"Pity, * was in mood for that. So...any other suggestions?"
ham,No da. . Vijay going to talk in jaya tv
ham,K..u also dont msg or reply to his msg..
ham,Yes.he have good crickiting mind
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
ham,"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)"""
ham,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
ham,"If we hit it off, you can move in with me :)"
ham,K..i deleted my contact that why?
ham,I anything lor.
ham,This is all just creepy and crazy to me.
ham,Anything lor... U decide...
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
ham,Already one guy loving you:-.
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Then we gotta do it after that
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+
ham,U buy newspapers already?
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
ham,I knew it... U slept v late yest? Wake up so late...
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
ham,Black shirt n blue jeans... I thk i c Ì_...
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
spam,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
ham,Wot about on wed nite I am 3 then but only til 9!
ham,Good morning princess! How are you?
ham,Ok lor wat time Ì_ finish?
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
ham,Yes I know the cheesy songs from frosty the snowman :)
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,What Today-sunday..sunday is holiday..so no work..
ham,"Ah, well that confuses things, doesnÛ÷t it?"
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
ham,Tiwary to rcb.battle between bang and kochi.
ham,He didn't see his shadow. We get an early spring yay
ham,I'm stuck in da middle of da row on da right hand side of da lt... 
ham,Ultimately tor motive tui achieve korli.
ham,"Sure, I'll see if I can come by in a bit"
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,No de.am seeing in online shop so that i asked.
ham,Yo you around? A friend of mine's lookin to pick up later tonight
ham,I'm job profile seems like bpo..
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,I'm meeting Darren...
ham,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
ham,Nvm take ur time.
ham,Tell me whos this pls:-)
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way. 
ham,Ugh fuck it I'm resubbing to eve
ham,Thank god they are in bed!
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
ham,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...
ham,K..k.:)congratulation ..
ham,I can do that! I want to please you both inside and outside the bedroom...
ham,Doing project w frens lor. 
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
ham,K:)k:)good:)study well.
ham,"And that's fine, I got enough bud to last most of the night at least"
ham,Shant disturb u anymore... Jia you...
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
ham,"No, I was trying it all weekend ;V"
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,Having lunch:)you are not in online?why?
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham,Mm umma ask vava also to come tell him can play later together
ham,Sorry * was at the grocers.
ham,Wife.how she knew the time of murder exactly
ham,I want to lick your pussy now...
ham,No messages on her phone. I'm holding it now
ham,I'm freezing and craving ice. Fml
ham,I like dis sweater fr mango but no more my size already so irritating.
ham,Ok no prob
ham,"I sent you the prices and do you mean the  &lt;#&gt; g,"
ham,No calls..messages..missed calls
ham,"Me, i dont know again oh"
ham,When are you guys leaving?
ham,Yar but they say got some error.
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,Midnight at the earliest
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
ham,DO U WANT 2 MEET UP 2MORRO
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?! 
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office.."
ham,"not that I know of, most people up here are still out of town"
ham,I'm still pretty weak today .. Bad day ?
ham,Hi:)did you asked to waheeda fathima about leave?
ham,Do I? I thought I put it back in the box
ham,Oh great. I.ll disturb him more so that we can talk.
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
ham,Sitting ard nothing to do lor. U leh busy w work?
ham,I will come tomorrow di
ham,Love you aathi..love u lot..
